dt,account,province,group,total_outbound_count,black_outbound_count,total_pickup_count,black_pickup_count,total_pay_count,black_pay_count
2025-12-10,taoyirong999,湖南,未触发黑名单部分,69316,0,3089,0,0,0
2025-12-10,fenqile888,黑龙江,未触发黑名单部分,7647,0,164,0,0,0
2025-12-10,haihua888,湖北,未触发黑名单部分,14,0,0,0,0,0
2025-12-10,zhongandai999,广东,31,39286,39286,259,259,0,0
2025-12-10,xinyongfei666,云南,未触发黑名单部分,30963,0,2083,0,0,0
2025-12-10,meixin888,贵州,未触发黑名单部分,32659,0,1847,0,1,0
2025-12-10,jixianghua888,辽宁,未触发黑名单部分,231,0,4,0,0,0
2025-12-10,baotai10,陕西,31,6878,6878,50,50,0,0
2025-12-10,zhongandai999,福建,31,9380,9380,67,67,0,0
2025-12-10,kaishi01,江苏,31,1,1,0,0,0,0
2025-12-10,weiqianbao555,云南,未触发黑名单部分,199545,0,10430,0,0,0
2025-12-10,YSH,福建,31,5,5,0,0,0,0
2025-12-10,YSH,江西,31,0,0,0,0,0,0
2025-12-10,youqian888,陕西,31,8722,8722,30,30,0,0
2025-12-10,yuedaibao666,上海,未触发黑名单部分,9594,0,673,0,0,0
2025-12-10,haofenqi888,重庆,31,2040,2040,7,7,0,0
2025-12-10,taoyirong999,山西,未触发黑名单部分,23060,0,812,0,0,0
2025-12-10,weiqianbao888,江西,未触发黑名单部分,25091,0,1321,0,0,0
2025-12-10,weiqianbao661,天津,未触发黑名单部分,5039,0,290,0,0,0
2025-12-10,YSH,四川,未触发黑名单部分,17732,0,1093,0,0,0
2025-12-10,weiqianbao333,湖北,31,17534,17534,61,61,0,0
2025-12-10,haozhouzhuan888,西藏,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,baotai18,安徽,31,147,147,6,6,0,0
2025-12-10,YSH,辽宁,31,0,0,0,0,0,0
2025-12-10,taoyirong666,广东,未触发黑名单部分,24910,0,1485,0,1,0
2025-12-10,langshun08,广西,31,1332,1332,7,7,0,0
2025-12-10,langshun08,内蒙古,31,506,506,4,4,0,0
2025-12-10,jiuwuhua888,黑龙江,未触发黑名单部分,16196,0,920,0,0,0
2025-12-10,haozhouzhuan888,黑龙江,未触发黑名单部分,69623,0,1371,0,0,0
2025-12-10,langshun08,广东,未触发黑名单部分,79421,0,7886,0,0,0
2025-12-10,xinyongfei666,四川,未触发黑名单部分,37028,0,2544,0,0,0
2025-12-10,youqian888,云南,31,4762,4762,13,13,0,0
2025-12-10,yuedaibao666,吉林,31,1346,1346,11,11,0,0
2025-12-10,yunshenghua888,湖南,31,45,45,0,0,0,0
2025-12-10,youqian888,福建,未触发黑名单部分,21298,0,1032,0,1,0
2025-12-10,YSH,青海,未触发黑名单部分,2,0,0,0,0,0
2025-12-10,baotai27,陕西,31,12871,12871,114,114,0,0
2025-12-10,weiqianbao661,广西,未触发黑名单部分,65107,0,3691,0,3,0
2025-12-10,shuxunda01,云南,未触发黑名单部分,10833,0,1444,0,0,0
2025-12-10,langshun06,湖南,未触发黑名单部分,45536,0,4492,0,2,0
2025-12-10,fenqile888,安徽,31,3908,3908,10,10,0,0
2025-12-10,haofenqi888,吉林,31,3047,3047,10,10,0,0
2025-12-10,jirong888,湖南,未触发黑名单部分,42417,0,2597,0,0,0
2025-12-10,jirong888,陕西,未触发黑名单部分,28029,0,1550,0,0,0
2025-12-10,weiqianbao333,天津,未触发黑名单部分,3771,0,119,0,0,0
2025-12-10,taoyirong666,宁夏,31,156,156,1,1,0,0
2025-12-10,weiqianbao333,安徽,31,13177,13177,48,48,0,0
2025-12-10,shuxunda01,重庆,未触发黑名单部分,3979,0,576,0,1,0
2025-12-10,shuxunda01,陕西,未触发黑名单部分,5228,0,680,0,0,0
2025-12-10,weiqianbao333,山西,31,13263,13263,49,49,0,0
2025-12-10,taoyirong999,安徽,未触发黑名单部分,50660,0,2046,0,0,0
2025-12-10,haofenqi888,甘肃,31,3814,3814,15,15,0,0
2025-12-10,jirong888,安徽,31,5941,5941,33,33,0,0
2025-12-10,meixin888,广西,未触发黑名单部分,40578,0,2254,0,2,0
2025-12-10,taoyirong666,安徽,31,1851,1851,3,3,0,0
2025-12-10,taoyirong999,福建,未触发黑名单部分,71358,0,2404,0,2,0
2025-12-10,taoyirong999,河南,未触发黑名单部分,85690,0,3356,0,0,0
2025-12-10,miduoduo888,安徽,31,59920,59920,221,221,0,0
2025-12-10,weiqianbao888,海南,未触发黑名单部分,14300,0,459,0,0,0
2025-12-10,haofenqi888,安徽,未触发黑名单部分,18,0,1,0,0,0
2025-12-10,taoyirong999,广东,31,66070,66070,141,141,0,0
2025-12-10,taoyirong666,四川,31,3022,3022,5,5,0,0
2025-12-10,YSH,河北,31,431,431,1,1,0,0
2025-12-10,jixianghua888,海南,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,yuedaibao666,贵州,未触发黑名单部分,25594,0,1350,0,2,0
2025-12-10,jirong888,天津,未触发黑名单部分,8483,0,476,0,0,0
2025-12-10,meixin888,上海,未触发黑名单部分,5858,0,396,0,0,0
2025-12-10,baotai04,青海,未触发黑名单部分,1,0,1,0,0,0
2025-12-10,fenqile888,新疆,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,langshun08,山东,31,2765,2765,9,9,0,0
2025-12-10,,福建,未触发黑名单部分,8,0,1,0,0,0
